LSOA11CD,total_population,imd_score,imd_decile,income_score,health_score,crime_score
E01000136,1559,8.96,8,0.037,-1.93,0.188
E01000137,1756,28.786,3,0.235,0.077,0.348
E01000138,1492,27.86,3,0.178,-0.547,1.066
E01000139,1532,12.388,7,0.082,-1.326,0.61
E01000140,1836,16.817,6,0.118,-0.914,-0.026
E01000141,2273,28.797,3,0.149,-0.736,1.518
E01000142,2563,16.669,6,0.126,-0.676,-0.373
E01000143,1467,31.342,3,0.239,-0.081,0.763
E01000144,1763,18.338,5,0.102,-0.906,0.717
E01000145,1652,14.626,6,0.088,-1.5,0.196
E01000146,1814,18.538,5,0.103,-1.542,0.638
E01000147,1876,12.786,7,0.078,-1.99,0.336
E01000148,2649,27.671,3,0.186,-0.042,0.009
E01000150,2246,15.583,6,0.106,-1.385,-0.033
E01000151,1747,38.897,2,0.332,-0.203,0.085
E01000152,1764,32.418,3,0.265,-0.552,0.049
E01000153,1867,41.649,2,0.276,-0.047,0.872
E01000154,1345,32.667,3,0.201,0.007,0.827
E01000155,3602,20.797,5,0.135,-1.303,-0.128
E01000156,2097,8.319,9,0.075,-0.991,-0.158
E01000157,1600,12.655,7,0.089,-1.084,-0.281
E01000158,1588,19.721,5,0.13,-0.598,0.561
E01000159,1828,16.257,6,0.112,-1.287,0.561
E01000160,1978,12.121,7,0.07,-1.028,0.463
E01000161,2407,14.513,6,0.109,-0.524,0.612
E01000162,1683,18.504,5,0.117,-0.479,0.481
E01000163,1709,28.541,3,0.2,0.036,0.26
E01000164,1858,25.331,4,0.172,-0.666,0.841
E01000165,1892,13.258,7,0.099,-1.29,0.198
E01000166,1640,14.861,6,0.105,-0.922,0.276
E01000167,1361,28.35,3,0.199,0.166,0.516
E01000168,1614,6.975,9,0.05,-1.486,-0.095
E01000169,1602,13.226,7,0.086,-1.209,0.466
E01000170,1707,20.384,5,0.147,-0.625,0.536
E01000171,1999,24.261,4,0.196,-0.164,0.288
E01000172,1707,8.421,9,0.075,-1.613,-0.743
E01000173,1790,9.709,8,0.081,-1.13,-0.085
E01000174,1875,16.271,6,0.128,-0.672,-0.248
E01000175,1568,7.614,9,0.052,-1.45,0.185
E01000176,1651,30.549,3,0.233,-0.459,0.377
E01000177,1746,8.263,9,0.055,-1.826,0.031
E01000178,1817,8.055,9,0.058,-1.31,-0.15
E01000179,1754,8.467,9,0.064,-0.712,-0.087
E01000180,1718,14.555,6,0.13,-1.044,-0.257
E01000181,1746,8.204,9,0.058,-1.634,0.07
E01000182,1919,8.01,9,0.04,-1.738,-0.177
E01000183,1502,10.613,8,0.085,-0.676,-0.504
E01000184,1645,31.921,3,0.212,-0.186,0.303
E01000185,1547,25.824,4,0.239,-0.208,-0.438
E01000186,1680,5.195,10,0.044,-1.988,-0.699
E01000187,1766,13.015,7,0.118,-0.599,-0.561
E01000188,1581,8.028,9,0.032,-2.011,0.509
E01000189,1481,24.526,4,0.149,-0.871,-0.444
E01000190,1645,10.149,8,0.091,-1.301,-0.437
E01000191,1559,6.834,9,0.055,-1.605,-0.547
E01000192,2022,15.472,6,0.105,-1.035,0.535
E01000193,1910,16.117,6,0.09,-1.393,0.546
E01000194,1839,19.392,5,0.114,-1.007,0.884
E01000195,2007,26.999,3,0.177,-0.58,0.143
E01000196,2008,12.284,7,0.093,-1.183,-0.675
E01000197,1889,12.516,7,0.086,-1.585,0.035
E01000198,2065,11.841,7,0.087,-1.852,-0.606
